bookId;genres
52892857;classics&fiction&historical-fiction&feminism&lgbt&historical&queer&african-american&literature&novels
44767458;science-fiction&fiction&fantasy&classics&science-fiction-fantasy&audiobook&space-opera&novels&adventure&adult
41044096;young-adult&fiction&historical-fiction&classics&childrens&middle-grade&adventure&historical&school&survival
40940121;fiction&young-adult&classics&fantasy&childrens&middle-grade&realistic-fiction&school&contemporary&juvenile
40881621;fiction&poetry&classics&philosophy&literature&portugal&portuguese-literature&novels&20th-century&unfinished
40792344;christian&non-fiction&religion&theology&christianity&classics&philosophy&faith&spirituality&christian-living
40779082;history&non-fiction&war&world-war-i&military-fiction&military-history&politics&historical&european-history&world-history
40651883;science-fiction&fiction&cyberpunk&fantasy&science-fiction-fantasy&dystopia&novels&speculative-fiction&audiobook&classics
40605251;fantasy&fiction&historical-fiction&arthurian&mythology&classics&historical&science-fiction-fantasy&romance&magic
40604658;science-fiction&fiction&thriller&adventure&fantasy&horror&classics&science-fiction-fantasy&dinosaurs&adult
40495148;fiction&dystopia&science-fiction&classics&novels&literature&portugal&horror&portuguese-literature&nobel-prize
39280444;young-adult&fiction&contemporary&realistic-fiction&mental-health&teen&coming-of-age&high-school&school&banned-books
38374795;classics&fiction&historical-fiction&literature&british-literature&novels&20th-century&romance&literary-fiction&audiobook
36402034;science-fiction&fiction&classics&dystopia&cyberpunk&science-fiction-fantasy&fantasy&novels&speculative-fiction&american
36236124;fiction&classics&contemporary&thriller&novels&mystery&adult&literature&american&adult-fiction
36236123;fiction&contemporary&thriller&novels&humor&literature&american&dark&horror&audiobook
33648131;romance&fiction&chick-lit&contemporary&adult&adult-fiction&classics&contemporary-romance&love&drama
33574273;fantasy&fiction&classics&young-adult&science-fiction&childrens&middle-grade&time-travel&adventure&science-fiction-fantasy
33124137;horror&fiction&thriller&fantasy&audiobook&paranormal&adult&supernatural&mystery&suspense
28251250;fiction&classics&literature&novels&literary-fiction&american&contemporary&20th-century&science-fiction&the-united-states-of-america
25845273;christian&fiction&religion&classics&theology&christianity&fantasy&faith&christian-fiction&philosophy
18144590;fiction&classics&fantasy&philosophy&novels&spirituality&self-help&literature&adventure&audiobook
18114322;classics&fiction&historical-fiction&literature&novels&school&american&historical&classic-literature&high-school
17899948;classics&fiction&mystery&gothic&romance&historical-fiction&thriller&horror&mystery-thriller&audiobook
13079982;classics&fiction&science-fiction&dystopia&school&literature&novels&fantasy&audiobook&adult
10073506;fiction&mystery&thriller&espionage&classics&mystery-thriller&crime&suspense&spy-thriller&novels
8130077;fiction&christian&classics&religion&christianity&fantasy&theology&christian-fiction&faith&philosophy
7944648;fiction&contemporary&literary-fiction&adult-fiction&novels&literature&book-club&adult&suspense&drama
6088007;science-fiction&fiction&cyberpunk&classics&dystopia&science-fiction-fantasy&fantasy&novels&speculative-fiction&audiobook
5291314;classics&fiction&literature&adventure&novels&historical-fiction&british-literature&classic-literature&english-literature&20th-century
2247142;fiction&mystery&classics&thriller&crime&mystery-thriller&suspense&italy&novels&noir
968868;fantasy&science-fiction&fiction&science-fiction-fantasy&novels&literature&speculative-fiction&classics&post-apocalyptic&dark-fantasy
929782;classics&fiction&american&literature&novels&the-united-states-of-america&roman&adventure&20th-century&historical-fiction
853510;mystery&classics&fiction&crime&mystery-thriller&thriller&audiobook&detective&adult&murder-mystery
838729;fantasy&fiction&classics&adventure&high-fantasy&science-fiction-fantasy&epic-fantasy&audiobook&novels&literature
830502;horror&fiction&thriller&fantasy&audiobook&classics&mystery&adult&paranormal&supernatural
801754;history&philosophy&politics&non-fiction&classics&sociology&german-literature&world-history&historical&cultural
781787;non-fiction&africa&classics&memoir&biography&travel&history&biography-memoir&autobiography&kenya
776407;classics&childrens&fiction&fantasy&animals&audiobook&middle-grade&picture-books&young-adult&short-stories
762806;mystery&fiction&thriller&crime&russia&mystery-thriller&detective&espionage&suspense&historical-fiction
703292;historical-fiction&young-adult&fiction&classics&childrens&historical&middle-grade&witches&romance&school
676737;fiction&fantasy&classics&mythology&school&literature&novels&retellings&high-school&literary-fiction
616828;classics&fiction&literature&school&africa&historical-fiction&novels&read-for-school&high-school&classic-literature
612188;psychology&non-fiction&philosophy&biography&memoir&spirituality&autobiography&psychoanalysis&science&history
592657;fiction&classics&thriller&horror&adventure&literature&novels&southern&literary-fiction&suspense
588138;non-fiction&mythology&philosophy&psychology&writing&history&religion&classics&anthropology&spirituality
586472;non-fiction&history&space&science&biography&american-history&classics&aviation&adventure&journalism
567678;fiction&horror&thriller&contemporary&mystery&classics&dark&scotland&novels&literature
561909;non-fiction&biography&history&christian&memoir&classics&holocaust&world-war-ii&historical&biography-memoir
546018;historical-fiction&fiction&classics&historical&african-american&africa&race&audiobook&literature&novels
541803;mystery&fiction&classics&short-stories&crime&mystery-thriller&literature&detective&historical-fiction&british-literature
540020;fiction&thriller&mystery&crime&espionage&historical-fiction&suspense&mystery-thriller&classics&novels
530965;science-fiction&fiction&classics&horror&post-apocalyptic&dystopia&fantasy&science-fiction-fantasy&apocalyptic&novels
529626;fiction&classics&literature&novels&literary-fiction&american&historical-fiction&the-united-states-of-america&americana&contemporary
527756;fiction&classics&philosophy&literature&german-literature&novels&historical-fiction&20th-century&germany&literary-fiction
517188;fiction&classics&historical-fiction&scotland&novels&british-literature&literary-fiction&20th-century&literature&modern-classics
485894;classics&fiction&fantasy&philosophy&literature&short-stories&school&horror&german-literature&novels
480204;classics&fiction&horror&romance&gothic&mystery&historical-fiction&france&fantasy&literature
472331;graphic-novels&comics&fiction&science-fiction&fantasy&graphic-novels-comics&comic-book&classics&superheroes&dystopia
469571;fiction&westerns&historical-fiction&classics&literature&novels&literary-fiction&american&contemporary&adventure
464260;non-fiction&essays&classics&race&history&politics&social-justice&memoir&african-american&audiobook
460635;fiction&magical-realism&literary-fiction&historical-fiction&contemporary&fantasy&literature&novels&20th-century&book-club
457264;feminism&non-fiction&philosophy&classics&womens&france&gender&sociology&politics&gender-studies
426504;fiction&short-stories&classics&magical-realism&fantasy&literature&spanish-literature&philosophy&latin-american&20th-century
420282;picture-books&childrens&christmas&fiction&fantasy&classics&holiday&adventure&kids&juvenile
412732;fiction&classics&literature&novels&travel&american&philosophy&buddhism&adventure&spirituality
403098;plays&classics&drama&historical-fiction&fiction&literature&school&theatre&historical&religion
402093;historical-fiction&fiction&japan&historical&classics&adventure&asia&literature&novels&japanese-literature
395182;fiction&classics&humor&british-literature&literature&novels&20th-century&comedy&literary-fiction&modern-classics
395090;poetry&classics&feminism&fiction&20th-century&american&literature&mental-health&womens&adult
394535;fiction&historical-fiction&westerns&classics&literature&horror&novels&american&historical&literary-fiction
393199;non-fiction&classics&memoir&biography&travel&history&literature&france&autobiography&politics
386187;non-fiction&true-crime&mystery&crime&history&classics&southern&audiobook&travel&memoir
386162;science-fiction&fiction&humor&classics&fantasy&comedy&science-fiction-fantasy&audiobook&adventure&novels
375802;science-fiction&fiction&young-adult&fantasy&classics&science-fiction-fantasy&dystopia&war&audiobook&adventure
375013;history&non-fiction&classics&holocaust&war&historical&world-war-ii&biography&literature&media-tie-in
374233;fiction&classics&italian-literature&magical-realism&literature&italy&novels&books-about-books&literary-fiction&20th-century
373755;classics&fiction&literature&novels&american&historical-fiction&southern-gothic&southern&20th-century&literary-fiction
370493;childrens&classics&fiction&picture-books&poetry&young-adult&fantasy&juvenile&kids&short-stories
368916;non-fiction&books-about-books&memoir&classics&biography&biography-memoir&british-literature&history&audiobook&historical
368772;fiction&historical-fiction&classics&war&world-war-ii&military-fiction&literature&historical&novels&literary-fiction
357636;psychology&philosophy&non-fiction&classics&psychoanalysis&sociology&theory&history&politics&school
355697;classics&fiction&historical-fiction&war&historical&literature&school&german-literature&world-war-i&novels
334176;science-fiction&fiction&fantasy&religion&science-fiction-fantasy&speculative-fiction&aliens&adult&book-club&novels
333867;science-fiction&fiction&classics&cyberpunk&science-fiction-fantasy&space-opera&fantasy&novels&space&speculative-fiction
333538;fiction&classics&literature&german-literature&novels&philosophy&czech-literature&20th-century&dystopia&literary-fiction
332613;classics&fiction&psychology&literature&novels&mental-health&school&american&literary-fiction&mental-illness
331319;classics&fiction&literature&historical-fiction&american&novels&banned-books&crime&20th-century&classic-literature
327847;cookbooks&cooking&food&non-fiction&reference&classics&culinary&food-and-drink&foodie&how-to
321552;historical-fiction&fiction&art&classics&italy&historical&art-history&literature&biography-memoir&novels
321538;poetry&classics&literature&fiction&british-literature&20th-century&anthologies&collections&queer&lgbt
318742;non-fiction&history&classics&race&essays&sociology&african-american&philosophy&politics&social-justice
310612;fiction&classics&humor&literature&comedy&novels&american&literary-fiction&audiobook&contemporary
310146;historical-fiction&young-adult&fiction&middle-grade&adventure&historical&childrens&classics&school&read-for-school
306654;fiction&historical-fiction&classics&southern&historical&adult-fiction&coming-of-age&adult&young-adult&audiobook
298275;philosophy&fiction&classics&france&literature&french-literature&novels&20th-century&nobel-prize&literary-fiction
296662;history&non-fiction&education&politics&american-history&historical&teaching&social-justice&sociology&reference
294459;fiction&classics&literature&novels&american&short-stories&20th-century&literary-fiction&novella&the-united-states-of-america
292408;fiction&historical-fiction&classics&westerns&literature&literary-fiction&novels&historical&book-club&audiobook
285092;fiction&music&contemporary&humor&romance&novels&british-literature&literature&comedy&adult-fiction
284996;short-stories&fiction&classics&literature&southern-gothic&southern&american&literary-fiction&20th-century&gothic
278097;science-fiction&fiction&classics&fantasy&science-fiction-fantasy&novels&space-opera&philosophy&americana&the-united-states-of-america
256008;fiction&historical-fiction&westerns&classics&historical&adventure&novels&literature&audiobook&american
252577;non-fiction&memoir&biography&classics&ireland&autobiography&biography-memoir&history&irish-literature&historical
251688;classics&fiction&short-stories&romance&american&literature&audiobook&novels&new-york&20th-century
248596;horror&fantasy&fiction&classics&science-fiction&young-adult&halloween&audiobook&mystery&science-fiction-fantasy
243705;fiction&classics&horror&thriller&crime&mystery&novels&literature&british-literature&mystery-thriller
240130;picture-books&childrens&fantasy&fiction&dragons&fairy-tales&classics&humor&feminism&canada
233667;horror&fiction&thriller&science-fiction&fantasy&paranormal&suspense&supernatural&audiobook&adult
233093;childrens&picture-books&classics&fiction&poetry&fantasy&humor&animals&kids&cats
231804;classics&young-adult&fiction&school&read-for-school&realistic-fiction&coming-of-age&historical-fiction&contemporary&childrens
228665;fiction&fantasy&epic-fantasy&high-fantasy&science-fiction-fantasy&audiobook&adventure&adult&magic&epic
228630;classics&non-fiction&memoir&biography&african-american&race&autobiography&history&school&literature
228560;fiction&classics&historical-fiction&holocaust&war&historical&world-war-ii&banned-books&literature&novels
227711;fiction&contemporary&literary-fiction&novels&adult-fiction&mental-illness&mental-health&adult&psychology&drama
227463;classics&fiction&science-fiction&dystopia&literature&horror&novels&modern-classics&crime&british-literature
227443;fiction&chick-lit&romance&humor&contemporary&comedy&adult&adult-fiction&british-literature&contemporary-romance
227265;fiction&philosophy&spirituality&classics&fantasy&environment&novels&literature&religion&school
219205;fantasy&fiction&science-fiction-fantasy&epic-fantasy&science-fiction&high-fantasy&adventure&young-adult&epic&unfinished
218659;short-stories&fiction&classics&literature&southern-gothic&american&southern&literary-fiction&audiobook&20th-century
216363;science-fiction&fiction&classics&dystopia&alternate-history&historical-fiction&fantasy&science-fiction-fantasy&novels&speculative-fiction
210834;classics&fiction&india&historical-fiction&adventure&literature&novels&historical&british-literature&asia
210404;non-fiction&nature&science&environment&classics&philosophy&essays&ecology&natural-history&history
205476;plays&classics&drama&fiction&theatre&school&read-for-school&high-school&historical-fiction&literature
191940;fiction&classics&german-literature&literature&philosophy&novels&20th-century&roman&germany&literary-fiction
191139;childrens&picture-books&fiction&classics&poetry&fantasy&young-adult&inspirational&kids&humor
188572;classics&mystery&fiction&crime&short-stories&detective&literature&audiobook&mystery-thriller&historical-fiction
187181;fiction&classics&historical-fiction&young-adult&jewish&religion&school&literature&judaism&novels
179780;horror&fiction&classics&paranormal&thriller&supernatural&fantasy&religion&audiobook&adult
179033;fantasy&fiction&epic-fantasy&science-fiction-fantasy&science-fiction&high-fantasy&adventure&epic&magic&speculative-fiction
174834;christian&theology&christianity&religion&non-fiction&faith&christian-living&discipleship&spirituality&classics
172732;non-fiction&travel&biography&history&memoir&politics&autobiography&adventure&biography-memoir&classics
170448;classics&fiction&dystopia&fantasy&school&politics&literature&science-fiction&novels&read-for-school
169718;fiction&classics&literature&novels&american&20th-century&literary-fiction&historical-fiction&classic-literature&nobel-prize
168668;classics&fiction&historical-fiction&war&humor&literature&novels&american&historical&unfinished
168642;non-fiction&classics&true-crime&crime&mystery&history&thriller&literature&audiobook&american
166997;fiction&classics&literature&historical-fiction&novels&american&literary-fiction&the-united-states-of-america&20th-century&modern-classics
164154;science-fiction&fiction&post-apocalyptic&classics&dystopia&fantasy&science-fiction-fantasy&religion&speculative-fiction&apocalyptic
163977;fiction&classics&literature&historical-fiction&novels&american&20th-century&literary-fiction&the-united-states-of-america&classic-literature
159835;classics&non-fiction&philosophy&biography&essays&classic-literature&nature&inspirational&spirituality&poetry
159178;historical-fiction&fiction&civil-war&historical&war&classics&romance&american-civil-war&adult&epic
158420;self-help&non-fiction&psychology&reference&spirituality&health&mental-health&religion&classics&inspirational
157993;classics&fiction&fantasy&childrens&france&philosophy&young-adult&literature&middle-grade&french-literature
152380;classics&fantasy&childrens&fiction&middle-grade&audiobook&young-adult&magic&juvenile&adventure
149267;horror&fiction&fantasy&science-fiction&post-apocalyptic&thriller&dystopia&audiobook&apocalyptic&classics
146746;historical-fiction&fiction&india&classics&historical&20th-century&literature&asia&british-literature&novels
144974;classics&childrens&fiction&picture-books&fantasy&animals&young-adult&short-stories&juvenile&middle-grade
140963;classics&fiction&historical-fiction&literature&american&historical&novels&westerns&20th-century&classic-literature
140225;fantasy&fiction&classics&young-adult&childrens&adventure&christian&middle-grade&christian-fiction&science-fiction-fantasy
138959;classics&childrens&fiction&fantasy&animals&middle-grade&young-adult&chapter-books&adventure&juvenile
136116;classics&historical-fiction&fiction&romance&adventure&historical&mystery&france&literature&french-revolution
135836;fiction&contemporary&classics&scotland&novels&crime&literature&british-literature&thriller&20th-century
135479;fiction&classics&science-fiction&humor&literature&novels&dystopia&american&fantasy&20th-century
133518;fiction&historical-fiction&classics&war&short-stories&school&historical&military-fiction&literature&read-for-school
133430;historical-fiction&fiction&historical&westerns&classics&adventure&novels&epic&american-history&literature
133380;poetry&classics&feminism&womens&fiction&queer&literature&american&20th-century&lgbt
130580;classics&fiction&young-adult&childrens&animals&historical-fiction&dogs&middle-grade&school&realistic-fiction
130440;classics&fiction&historical-fiction&russia&russian-literature&literature&romance&historical&novels&war
124509;fiction&mystery&crime&thriller&denmark&scandinavian-literature&mystery-thriller&danish&contemporary&suspense
121749;fantasy&classics&fiction&young-adult&childrens&adventure&christian&middle-grade&christian-fiction&audiobook
119324;fantasy&young-adult&fiction&childrens&adventure&science-fiction&audiobook&science-fiction-fantasy&steampunk&middle-grade
119322;fantasy&young-adult&fiction&childrens&adventure&middle-grade&science-fiction&classics&audiobook&steampunk
119073;fiction&historical-fiction&mystery&classics&historical&literature&italian-literature&italy&crime&novels
118389;poetry&classics&fiction&literature&school&20th-century&american&college&read-for-school&classic-literature
117833;classics&fiction&russia&fantasy&russian-literature&magical-realism&literature&novels&historical-fiction&20th-century
113946;childrens&picture-books&christmas&classics&fiction&poetry&fantasy&holiday&humor&kids
112537;science-fiction&fiction&classics&science-fiction-fantasy&space&novels&hugo-awards&audiobook&aliens&fantasy
110737;non-fiction&history&biography&sports&animals&horses&historical&biography-memoir&audiobook&american-history
107301;fiction&historical-fiction&classics&australia&romance&war&historical&world-war-ii&literature&novels
106264;historical-fiction&childrens&fiction&classics&middle-grade&young-adult&historical&juvenile&school&chapter-books
105986;fiction&humor&classics&comedy&british-literature&audiobook&literature&novels&20th-century&historical-fiction
103159;classics&fiction&historical-fiction&british-literature&literature&romance&historical&novels&classic-literature&nobel-prize
101299;fiction&historical-fiction&classics&german-literature&romance&holocaust&historical&germany&war&world-war-ii
100933;fiction&science-fiction&fantasy&christian&classics&christian-fiction&science-fiction-fantasy&christianity&religion&literature
100915;fantasy&classics&fiction&young-adult&childrens&middle-grade&adventure&christian&magic&christian-fiction
99664;classics&fiction&historical-fiction&romance&china&literature&british-literature&historical&asia&audiobook
99208;fiction&nature&environment&classics&humor&politics&novels&adventure&literature&ecology
99107;classics&childrens&fiction&fantasy&animals&middle-grade&audiobook&picture-books&young-adult&juvenile
98573;picture-books&childrens&fiction&classics&fantasy&art&kids&adventure&juvenile&young-adult
97333;fiction&classics&ireland&irish-literature&novels&humor&literature&fantasy&20th-century&literary-fiction
96123;history&non-fiction&politics&journalism&american-history&true-crime&classics&historical&presidents&biography
95819;poetry&classics&fiction&literature&american&20th-century&anthologies&classic-literature&unfinished&school
93575;mystery&fiction&classics&crime&romance&mystery-thriller&british-literature&detective&historical-fiction&audiobook
93405;fiction&classics&german-literature&poetry&literature&philosophy&novels&20th-century&germany&literary-fiction
92780;fiction&classics&humor&historical-fiction&british-literature&comedy&20th-century&literature&novels&historical
92517;plays&classics&fiction&drama&theatre&school&literature&read-for-school&high-school&american
92508;fiction&classics&historical-fiction&literature&novels&american&literary-fiction&20th-century&religion&historical
92307;philosophy&non-fiction&classics&psychology&german-literature&theory&science&metaphysics&germany&academic
92057;non-fiction&biography&history&memoir&autobiography&politics&race&classics&biography-memoir&african-american
91661;mystery&fiction&historical-fiction&historical&mystery-thriller&crime&historical-mystery&audiobook&adult&british-literature
89724;horror&classics&fiction&gothic&mystery&audiobook&thriller&adult&mystery-thriller&novels
89717;horror&classics&fiction&gothic&mystery&paranormal&audiobook&thriller&ghosts&adult
88432;fiction&russia&classics&historical-fiction&russian-literature&war&literature&world-war-ii&novels&20th-century
88077;fiction&classics&german-literature&literature&philosophy&novels&germany&20th-century&nobel-prize&literary-fiction
87985;fiction&historical-fiction&war&italy&world-war-i&historical&literature&novels&literary-fiction&military-fiction
85386;fiction&classics&literature&novels&american&literary-fiction&banned-books&20th-century&contemporary&the-united-states-of-america
84981;fantasy&classics&young-adult&fiction&childrens&middle-grade&school&historical-fiction&romance&read-for-school
84119;fiction&young-adult&childrens&adventure&middle-grade&classics&christian-fiction&audiobook&science-fiction-fantasy&magic
80890;classics&fiction&german-literature&germany&historical-fiction&literature&novels&nobel-prize&20th-century&historical
80616;mystery&fiction&classics&crime&noir&mystery-thriller&detective&thriller&novels&american
80410;poetry&classics&fiction&literature&20th-century&philosophy&american&british-literature&nobel-prize&christianity
80176;fiction&classics&short-stories&literature&american&literary-fiction&20th-century&novels&americana&the-united-states-of-america
79834;historical-fiction&art&fiction&classics&historical&biography-memoir&literature&novels&art-history&american
78433;fiction&historical-fiction&mystery&canada&literary-fiction&classics&contemporary&literature&historical&science-fiction
78411;fiction&young-adult&childrens&fantasy&middle-grade&mystery&adventure&audiobook&humor&juvenile
78039;childrens&fiction&middle-grade&classics&young-adult&realistic-fiction&humor&chapter-books&juvenile&family
78024;fiction&classics&russia&russian-literature&historical-fiction&literature&war&nobel-prize&novels&20th-century
77767;classics&historical-fiction&childrens&fiction&young-adult&historical&middle-grade&juvenile&audiobook&family
77727;comics&humor&graphic-novels&fiction&childrens&comedy&graphic-novels-comics&classics&comic-book&comic-strips
77566;science-fiction&fiction&fantasy&space-opera&science-fiction-fantasy&audiobook&time-travel&horror&classics&space
77554;fiction&canada&historical-fiction&literary-fiction&literature&novels&classics&contemporary&canadian-literature&womens
77390;classics&fiction&young-adult&historical-fiction&childrens&historical&romance&audiobook&canada&middle-grade
77287;fiction&classics&historical-fiction&literature&nobel-prize&novels&scandinavian-literature&literary-fiction&20th-century&historical
77163;fiction&historical-fiction&germany&world-war-ii&historical&holocaust&war&literary-fiction&book-club&adult-fiction
77156;fiction&literary-fiction&contemporary&novels&literature&adult-fiction&book-club&adult&family&american
